Scopus refine results values

"Your query : (SOURCE-ID (21100812243))"


Number of results : 613

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Gogotsi, Y.","2",,,,,,,,,"Quantum Theory","5","University of Michigan, Ann Arbor","4","Oak Ridge National Laboratory","3",,,,,,
,,,,"Gong, J.","2",,,,,,,,,"Qubits","5","University of Oxford","4","Research, Development and Engineering Command","3",,,,,,
,,,,"Hakimi, O.","2",,,,,,,,,"Responsive Materials","5","University of Chinese Academy of Sciences","4","Royal Society","3",,,,,,
,,,,"Henkelman, G.","2",,,,,,,,,"Scaffolds (biology)","5","Carnegie Mellon University","4","Samsung","3",,,,,,
,,,,"Heremans, F.J.","2",,,,,,,,,"Self Assembly","5","National Renewable Energy Laboratory","4","Science and Technology Commission of Shanghai Municipality","3",,,,,,
,,,,"Hou, X.","2",,,,,,,,,"Solar Energy","5","University of Wisconsin-Madison","4","Toyota Research Institute","3",,,,,,
,,,,"Huang, Y.","2",,,,,,,,,"Surface Chemistry","5","Stanford University School of Medicine","4","U.S. Army","3",,,,,,
,,,,"Hubbell, J.A.","2",,,,,,,,,"Tumors","5","Canadian Institute for Advanced Research","4","U.S. Department of Health and Human Services","3",,,,,,
,,,,"Hudak, B.M.","2",,,,,,,,,"Biomedical Devices","4","Moores Cancer Center","4","Alfred P. Sloan Foundation","2",,,,,,
,,,,"Ivanov, A.P.","2",,,,,,,,,"Biomimetics","4","School of Physical and Mathematical Sciences","4","American Cancer Society","2",,,,,,
,,,,"Jesse, S.","2",,,,,,,,,"Building Blockes","4","Cornell University College of Engineering","4","American Chemical Society","2",,,,,,
,,,,"Ji, X.","2",,,,,,,,,"Catalysis","4","ShanghaiTech University","4","Argonne National Laboratory","2",,,,,,
,,,,"Kalinin, S.V.","2",,,,,,,,,"Computation Theory","4","California NanoSystems Institute","4","Battelle","2",,,,,,
,,,,"Kanai, S.","2",,,,,,,,,"Crystal Structure","4","Department of Bioengineering","4","Biotechnology and Biological Sciences Research Council","2",,,,,,
,,,,"Kaplan, D.L.","2",,,,,,,,,"DNA","4","Nature Reviews Physics","3","Burroughs Wellcome Fund","2",,,,,,
,,,,"Khademhosseini, A.","2",,,,,,,,,"Degrees Of Freedom (mechanics)","4","University of Illinois Urbana-Champaign","3","Canadian Institute for Advanced Research","2",,,,,,
,,,,"Kim, J.C.","2",,,,,,,,,"Design Strategies","4","The Ohio State University","3","Cancer Prevention and Research Institute of Texas","2",,,,,,
,,,,"Kirkland, N.J.","2",,,,,,,,,"Disease Control","4","Arizona State University","3","China Scholarship Council","2",,,,,,
,,,,"Krallinger, M.","2",,,,,,,,,"Electric Fields","4","King Abdulaziz University","3","Core Research for Evolutional Science and Technology","2",,,,,,
,,,,"Krishnan, Y.","2",,,,,,,,,"Electrodes","4","NC State University","3","Cornell University","2",,,,,,
